      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
      2026,JUNE           ,Human Factor                                                ,          17,         306,              5.6
      2026,JUNE           ,Infrastructure Engineering                                  ,          36,         306,             11.8
      2026,JUNE           ,Mechanical                                                  ,         167,         306,             54.6
      2026,JUNE           ,Other Railroads                                             ,           4,         306,              1.3
      2026,JUNE           ,Unpreventable                                               ,          62,         306,             20.3
      2026,MARCH          ,Carryover/Other                                             ,           1,         434,               .2
      2026,MARCH          ,Crew/Engineer Availability                                  ,         224,         434,             51.6
      2026,MARCH          ,Equipment Availability                                      ,           9,         434,              2.1
      2026,MARCH          ,Human Factor                                                ,          14,         434,              3.2
      2026,MARCH          ,Infrastructure Engineering                                  ,          34,         434,              7.8
      2026,MARCH          ,Mechanical                                                  ,          98,         434,             22.6
      2026,MARCH          ,Unpreventable                                               ,          54,         434,             12.4
      2026,MAY            ,Carryover/Other                                             ,           2,         231,               .9
      2026,MAY            ,Crew/Engineer Availability                                  ,          19,         231,              8.2
      2026,MAY            ,Equipment Availability                                      ,          11,         231,              4.8
      2026,MAY            ,Human Factor                                                ,           8,         231,              3.5
      2026,MAY            ,Infrastructure Engineering                                  ,          15,         231,              6.5
      2026,MAY            ,Mechanical                                                  ,         118,         231,             51.1
      2026,MAY            ,Unpreventable                                               ,          58,         231,             25.1
